ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1847,Stercorarius_parasiticus,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,NULL,"(Linnaeus, 1758)",Arctic jaeger / Parasitic jaeger / Arctic skua,"Kharlov Island, Murmansk Coast",Russian Federation,Russian Federation,Asia,68.8075,37.34528,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,28,38,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1877,Sterna_paradisaea,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Laridae,Sterna,paradisaea,NULL,"Pontoppidan, 1763",Arctic tern,"Oneshski Bay, White Sea, Russia",Russian Federation,Russian Federation,Asia,64.99917,34.78,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1879,Sterna_paradisaea,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Seven Islands, Murmansk Coast, Russia",Russian Federation,Russian Federation,Asia,68.8,37.43333,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3200,1400,500,600,150,250,150,400,250,200,450,300,2000,1000,500,500,500,700,NULL,250,400,500,1700,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1905,Uria_aalge,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Bear Island, Svalbard",Svalbard And Jan Mayen,Svalbard And Jan Mayen,Europe,74.51667,19.01667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,310000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,245000,36000,80000,90000,NULL,NULL,42900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1907,Uria_aalge,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Hjelmsoy, Norway",Norway,Norway,Europe,71.06194,24.70306,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220000,NULL,180000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29000,13000,3000,12000,12000,10400,NULL,3600,NULL,NULL,NULL,NULL,NULL,NULL,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1910,Uria_aalge,"{Krasnov, 1995 #1117}updated with{Krasnov, 2007 #1791}",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Karlov Island, Murmansk, Russia",Russian Federation,Russian Federation,Asia,68.81361,37.33639,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals,Population counts/survey,NULL,NULL,NULL,NULL,2000,NULL,1200,NULL,2400,1800,1700,2700,2700,3200,1400,NULL,2100,2100,2200,2400,3000,2800,4100,4700,5200,5500,6100,NULL,6400,4800,6000,6050,6800,4900,8200,7800,7200,1100,1000,1200,1200,2000,2200,1900,2900,3300,2400,3500,3300,5700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1921,Uria_aalge,"{Anker-Nilssen, 1991 #1154}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Syltefjord, Finmark, Norway",Norway,Norway,Europe,70.56306,30.30694,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Rounded values from different sources,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13000,10600,1800,2200,2400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1925,Uria_lomvia,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Alcidae,Uria,lomvia,NULL,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Bezymyannaya bay,Russian Federation,Russian Federation,Asia,68.26333,38.93583,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81000,NULL,141000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1926,Uria_lomvia,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,lomvia,NULL,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Hornoya,Norway,Norway,Europe,70.38333,31.15,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,450,NULL,NULL,NULL,300,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1927,Uria_lomvia,"{Falk, 1997 #1151}",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Kap Brewster,Greenland,Greenland,Europe,70.5,-23.65,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1928,Uria_lomvia,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Kharlov Island,Russian Federation,Russian Federation,Asia,68.81361,37.33639,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,950,NULL,250,NULL,400,750,800,1500,1000,800,700,NULL,950,900,1100,1000,1150,1200,1900,2000,1900,1900,2100,NULL,2050,1400,900,1100,1500,800,1200,1600,1500,900,1000,800,800,1100,1150,950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1929,Uria_lomvia,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Uria,lomvia,NULL,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Svalbard,Svalbard And Jan Mayen,Svalbard And Jan Mayen,Europe,78,20,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145000,NULL,NULL,NULL,171000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1945,Balaenoptera_physalus,"{Meredith, 1988 #527}",Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,NULL,"(Linnaeus, 1758)",Fin whale,Greenland,Greenland,Greenland,Europe,60.13333,-47,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2186,Balaena_mysticetus,"{Angliss, 2006 #1434}",Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,"Linnaeus, 1758",Bowhead whale,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock)",United States,United States,North America,71.32306,-165.58333,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Polar seas,Number of individuals,Estimate from ice based census counts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4765,NULL,3885,4467,7395,6573,NULL,5762,8917,5298,6928,NULL,NULL,NULL,NULL,8167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2193,Delphinapterus_leucas,"{NOAA, 1999 #1131}",Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,NULL,"(Pallas, 1776)",Beluga whale,"Eastern Chukchi Sea Stock, Alaska",United States,United States,North America,68.2025,-167.55222,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals,Counts,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1352,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2233,Ursus_maritimus,"{U.S. Fish and Wildlife Service, 2002 #1085}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,NULL,"Phipps, 1774",Polar bear,Alaskan Stock,United States,United States,North America,64.00028,-150.00028,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,population estimate,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2326,Mallotus_villosus,"{International Council for the Exploration of the Sea, 2010 #675}  updated with  {International Council for the Exploration of the Sea, 2014 #3584}",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Müller, 1776)",Capelin,Barents Sea,Russian Federation,"Russian Federation, Norway, Finland",Asia,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,SSB (Thousand tonnes),Acoustic surveys in September,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,253,22,NULL,NULL,NULL,316,106,100,109,NULL,NULL,34,NULL,84,92,643,302,293,139,60,60,85,94,382,599,626,496,427,94,122,72,189,330,517,504,487,504,479,389,NULL
2365,Balaenoptera_acutorostrata,"{Øien, 2009 #3583}",Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,,"Lacépède, 1804",Minke whale,"Barentshavet, Grønlandshavet, Norskehavet og Nordsjøen",Norway,Norway,Europe,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals,"Population estimate calculated from surveys conducted in 1989, 1995, 1996-2001 and 2002-2007.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64422,NULL,NULL,NULL,NULL,NULL,111580,NULL,NULL,NULL,79461,NULL,NULL,NULL,NULL,NULL,78500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2499,Calidris_alpina,"{Strann, 1996 #1315}",Aves,Charadriiformes,Scolopacidae,Calidris,alpina,,"(Linnaeus, 1758)",Dunlin,"Slettnes,Gamvik, Finnmark",Norway,Norway,Europe,71.08333,28.21667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of hatching couples in the surveillance area,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,15,16,15,17,16,18,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2519,Stercorarius_parasiticus,"{Strann, 1996 #1315}",Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,,"(Linnaeus, 1758)",Arctic jaeger / Parasitic jaeger / Arctic skua,"Slettnes,Gamvik, Finnmark",Norway,Norway,Europe,71.08333,28.21667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of hatching couples in the surveillance area,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,21,36,39,42,47,49,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2520,Sterna_paradisaea,"{Günther, 2003 #1098} updated with {Günther, 2006 #2273}",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Pasvik naturreservat, Sør-Varanger, Finnmark",Norway,Norway,Europe,69.14694,29.21528,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Maximum observed during spring/autumn,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,52,145,76,43,106,43,70,56,101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2528,Boreogadus_saida,"{Michalsen, 2004 #1309} updated with {Stiansen, 2008 #1800} updated with {McBride, 2014 #3582}  ",Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,,"(Lepechin, 1774)",Polar cod / Arctic cod,Barentshavet,Norway,Norway,Europe,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Population estimate (thousand tonnes),Acoustic survey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,308.8,382.8,86,207.8,127.3,381.5,594.9,609.7,540.5,426.2,487.4,400.7,839.5,1141.9,1347.8,1869.6,1377.2,280.2,1150,1730,1910,1220,1219.6,891.9,1432.4,861.5,324.3,483.1,NULL,NULL
2545,Alca_torda,"{Lorentsen, 2009 #2275}",Aves,Charadriiformes,Alcidae,Alca,torda,NULL,"Linnaeus, 1758",Razorbill,"Hjelmsøy, Måsøy, Finnmark",Norway,Norway,Europe,70.91667,24.68333,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Percentage change in relation to mean for all years,Internationally recommended methods (in Norwegian),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138.9394,144.7422,167.8847,174.0042,185.0182,108.1396,97.6248,49.1943,85.0329,60.0541,40.7126,40.0927,12.4918,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2555,Fratercula_arctica,"{Lorentsen, 2009 #2275}",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,"Hornøy, Vardø, Finnmark",Norway,Norway,Europe,70.38333,31.15,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Population in % of mean,Apparently occupied nests,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59.3092,72.2841,73.7867,73.7792,NULL,77.563,NULL,76.8622,86.4949,NULL,100.2427,98.7627,88.0049,92.8018,93.3422,90.8834,99.2953,103.7842,100.1586,95.2423,112.3664,115.7238,125.6902,66.9824,73.1825,96.0299,74.2559,77.3834,93.2043,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2617,Larus_canus,"{Günther, 2003 #1098}",Aves,Charadriiformes,Laridae,Larus,canus,,"Linnaeus, 1758",Mew gull,"Pasvik naturreservat, Sør-Varanger, Finnmark",Norway,Norway,Europe,69.14694,29.21528,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,20,27,37,35,35,77,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2669,Rissa_tridactyla,"{Lorentsen, 2009 #2275}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Hjelmsøy, Måsøy, Finnmark",Norway,Norway,Europe,70.91667,24.68333,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Index ,Relative number,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207.2189,98.471,144.5707,138.3474,109.7016,149.2719,151.6795,121.2392,112.3663,114.6362,83.9112,87.6858,55.1331,56.4724,53.1836,48.1224,38.3113,27.931,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2670,Rissa_tridactyla,"{Lorentsen, 2009 #2275}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Hornøy, Vardø, Finnmark",Norway,Norway,Europe,70.38333,31.15,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Index ,Relative number,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127.7106,122.213,117.4209,145.732,NULL,108.8275,NULL,118.3641,117.4209,124.682,109.7016,111.9177,106.2466,104.9792,96.9079,102.4897,102.4897,111.026,113.2689,122.7029,107.1,83.5762,93.4812,80.2991,73.5346,67.0712,50.4887,47.5484,44.9588,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2671,Rissa_tridactyla,"{Barrett, 2001 #1034}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Sør-Varanger, Sør-Varanger, Finnmark",Norway,Norway,Europe,69.50417,29.72694,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of hatching couples,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15659,15238.6,14829.5,14431.4,14044,13667,13300.1,12943,12431.7,11940.7,11469,9919.8,8579.9,7421,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2700,Uria_aalge,"{Lorentsen, 2004 #1308}",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Syltefjordstauran, Båtsfjord, Finnmark",Norway,Norway,Europe,70.68389,23.06333,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Index ,Relative number,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,86.35,16.8,20.47,23.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2703,Uria_aalge,"{Lorentsen, 2009 #2275}",Aves,Charadriiformes,Alcidae,Uria,aalge,NULL,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Hjelmsøy, Måsøy, Finnmark",Norway,Norway,Europe,70.91667,24.68333,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Index ,Population in % of mean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1005.7406,517.7387,240.4293,53.0499,53.0499,79.1962,65.9405,60.8624,49.5282,50.6754,19.8195,12.8279,42.6793,33.9451,38.5007,30.6217,33.5587,21.4732,24.3551,17.2755,13.2762,13.1251,14.8866,20.9872,6.9927,NULL,NULL,NULL,NULL,NULL,NULL,NULL
